"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant"
44.479369416109,7.64863966886193,0.30360320212609,25.1928820753523,4.79386560949267e-140,1.63509168208576e-135,"ENSG00000152463.15","Significant"
191.709154761486,4.94204854475996,0.256637378348545,19.2569320048464,1.23481521842336e-82,2.10585387349921e-78,"ENSG00000203688.6","Significant"
19.3225083809829,3.56325118541274,0.205713994908484,17.3213844152797,3.24457167312238e-67,3.68886168756194e-63,"ENSG00000103740.10","Significant"
34.0748075139426,5.27573304384603,0.330705422413629,15.9529680685048,2.71672607750051e-57,2.31655232628469e-53,"ENSG00000130234.12","Significant"
2686.5280867446,6.5176287146076,0.442930637342257,14.7147841335061,5.1811300310043e-49,3.53435966194989e-45,"ENSG00000164434.12","Significant"
306.896970014626,3.39932537955044,0.234584120203568,14.490858872291,1.38401365779527e-47,7.86765630668019e-44,"ENSG00000270547.6","Significant"
65.7487892018262,6.28271275082871,0.436990665790906,14.3772241438102,7.19218498989208e-47,3.50444350907484e-43,"ENSG00000131686.15","Significant"
104.841167435181,3.52809607879451,0.249375625676802,14.1477182030894,1.92915901191236e-45,8.22496944728835e-42,"ENSG00000188763.5","Significant"
57.104811411498,3.97249061354629,0.28138434238716,14.1176675995727,2.95614381981104e-45,1.1203128156235e-41,"ENSG00000236882.8","Significant"
86.2828229588039,2.51910742522021,0.184256714927639,13.6717265702338,1.49798166267046e-42,5.10931585503641e-39,"ENSG00000137225.13","Significant"
25.046278280566,6.02176944625474,0.449529168471444,13.3957257250533,6.40469163889907e-41,1.98592020381427e-37,"ENSG00000204655.12","Significant"
328.609685381048,4.64988777069196,0.349640590763323,13.2990502062146,2.34427290584799e-40,6.66320502272194e-37,"ENSG00000227471.9","Significant"
737.18187750535,3.79465965630225,0.288448973051555,13.1553931919322,1.58457057476391e-39,4.15742562800366e-36,"ENSG00000158125.10","Significant"
127.467749903564,10.9325588303872,0.840795272243662,13.0026407037395,1.18190475080124e-38,2.87945766002348e-35,"ENSG00000167531.6","Significant"
373.294326010993,-6.38393622117724,0.495688334836507,-12.8789317248768,5.91485843679528e-38,1.34495994374809e-34,"ENSG00000249203.2","Significant"
5.47690863866881,4.08066099655929,0.31889834802658,12.7961183299049,1.7235332436846e-37,3.67414199222464e-34,"ENSG00000183090.5","Significant"
