"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant"
273.108867765885,1.5205202875492,0.0710909161700387,21.3883906617878,1.7136970565933e-101,4.27042085357455e-97,"ENSG00000129810.15","Significant"
1200.59648585799,1.69165255210223,0.0802416455842278,21.0819773172092,1.16416953093985e-98,9.92687359032408e-95,"ENSG00000101447.15","Significant"
3002.80515743381,1.69597043160764,0.0806603403083106,21.026075827663,3.78710823692063e-98,2.58341375489778e-94,"ENSG00000089685.15","Significant"
1612.00424443423,1.5025350767277,0.0715686158627734,20.9943291289674,7.38988032978213e-98,4.20090063813681e-94,"ENSG00000087586.18","Significant"
66.3140704634437,-3.07284204307706,0.154003110916623,-19.9531166921732,1.4082987659915e-88,2.66856968391322e-85,"ENSG00000171189.17","Significant"
881.817688537932,1.57889366896518,0.0796941978282319,19.8119023968123,2.35033739349038e-87,3.81739561034143e-84,"ENSG00000065328.17","Significant"
3662.45553311963,1.86881243323623,0.0950168495404697,19.6682213973035,4.03694175435839e-86,5.50768037430624e-83,"ENSG00000101057.16","Significant"
2067.34184811196,-3.32620814645059,0.172125287468659,-19.324343304619,3.35222228671606e-83,3.17604438209199e-80,"ENSG00000100146.18","Significant"
252.177867356445,-3.10807048548598,0.162021687820933,-19.1830521412728,5.12799685897267e-82,4.372642921646e-79,"ENSG00000119147.10","Significant"
1472.45088789441,1.52032289377343,0.0795522832815359,19.1109900440318,2.04551149072328e-81,1.51670230273021e-78,"ENSG00000068489.13","Significant"
85.6898115443769,1.51079766679023,0.0790971041502859,19.1005433513683,2.49873292981461e-81,1.8133358036195e-78,"ENSG00000196550.10","Significant"
394.842864106958,1.66883897114339,0.0877091884233617,19.026957165401,1.02006505905085e-80,6.95847580682125e-78,"ENSG00000129173.13","Significant"
482.670058482301,-2.48950165565773,0.13194335369927,-18.8679579975804,2.09228511128473e-79,1.25199404518771e-76,"ENSG00000143867.7","Significant"
